"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"5bb3ae28da3c38c71367bceb","E91","Nursing Facilities","Inpatient facilities, also known as convalescent hospitals and nursing homes, that provide skilled nursing and personal care over an extended period of time for people who are no longer in an acute phase of their illness.","","Adult Family Care Homes","","","","","","","","","5bb3ae28da3c38c71367bcea"
"","","","","","Alzheimers Homes","","","","","","","","",""
"","","","","","Chronic Care Homes","","","","","","","","",""
"","","","","","Convalescent Facilities","","","","","","","","",""
"","","","","","Convalescent Hospitals","","","","","","","","",""
"","","","","","Extended Care Facilities","","","","","","","","",""
"","","","","","Geriatric Centers","","","","","","","","",""
"","","","","","Homes for Aging","","","","","","","","",""
"","","","","","Intermediate Care Facilities","","","","","","","","",""
"","","","","","Long Term Care Facilities","","","","","","","","",""
"","","","","","Long Term Custodial Care","","","","","","","","",""
"","","","","","Long-Term Care Facilities","","","","","","","","",""
"","","","","","Long-Term Custodial Care","","","","","","","","",""
"","","","","","Nursing Care","","","","","","","","",""
"","","","","","Nursing Home Facilities","","","","","","","","",""
"","","","","","Nursing Homes","","","","","","","","",""
"","","","","","Rest Homes","","","","","","","","",""
"","","","","","Skilled Nursing Facilities","","","","","","","","",""
"5bb3ae28da3c38c71367bcec","E92","Home Health Care","Visiting nurse associations and other similar organizations that provide skilled nursing care and related health services on a home care basis for recently discharged hospital patients, and elderly or disabled individuals who may otherwise be institutionalized.","","Geriatric Home Nursing","","","","","","","","","5bb3ae28da3c38c71367bcea"
"","","","","","Home Infusion Therapy","","","","","","","","",""
"","","","","","Home Care Services","","","","","","","","",""
"","","","","","Home Infusion Therapy","","","","","","","","",""
"","","","","","Home Nursing Care","","","","","","","","",""
"","","","","","Medical/Surgical Home Nursing","","","","","","","","",""
"","","","","","Oncology Home Nursing","","","","","","","","",""
"","","","","","Pediatric Home Nursing","","","","","","","","",""
"","","","","","Private Duty Nursing","","","","","","","","",""
"","","","","","Psychiatric Home Nursing","","","","","","","","",""
"","","","","","Registered Home Nursing","","","","","","","","",""
"","","","","","Rehabilitation Home Nursing","","","","","","","","",""
"","","","","","Restorative Home Nursing","","","","","","","","",""
"","","","","","Visiting Doctors","","","","","","","","",""
"","","","","","Visiting Nurses","","","","","","","","",""
"","","","","","Visiting Physicians","","","","","","","","",""
"5bb3ae28da3c38c71367bced","E99","Health Care Not Elsewhere Classified","Organizations that clearly provide medical care services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bb3ae28da3c38c71367bcea"
"5bb3ae28da3c38c71367bcee","F20","Substance Abuse Dependency, Prevention & Treatment","Organizations that provide preventive, diagnostic and inpatient, outpatient and residential treatment services as well as transitional support for people who have a physical and/or psychological dependency on alcohol and/or drugs. ","","Addiction","5bb3ae28da3c38c71367bcef","5bb3ae28da3c38c71367bcf0","","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","Alcohol Abuse","","","","","","","","",""
"","","","","","Alcoholism","","","","","","","","",""
"","","","","","Chemical Dependency","","","","","","","","",""
"","","","","","Drug Abuse","","","","","","","","",""
"","","","","","Drug Addiction","","","","","","","","",""
"","","","","","Substance Abuse","","","","","","","","",""
"","","","","","Substance Dependence","","","","","","","","",""
"5bb3ae28da3c38c71367bcef","F21","Substance Abuse Prevention","Organizations that provide substance abuse education programs for people who are at risk for substance abuse in an effort to prevent their involvement with drugs and/or alcohol.","","Addiction","","","","","","","","","5bb3ae28da3c38c71367bcee"
"","","","","","Alcohol Abuse Awareness","","","","","","","","",""
"","","","","","Alcohol Abuse Education","","","","","","","","",""
"","","","","","Alcohol Abuse Prevention","","","","","","","","",""
"","","","","","Alcoholism","","","","","","","","",""
"","","","","","Chemical Dependency","","","","","","","","",""
"","","","","","D.A.R.E.","","","","","","","","",""
"","","","","","DARE","","","","","","","","",""
"","","","","","Drug Abuse Awareness","","","","","","","","",""
"","","","","","Drug Abuse Education","","","","","","","","",""
"","","","","","Drug Abuse Prevention","","","","","","","","",""
"","","","","","Drug Abuse Resistance Education","","","","","","","","",""
"","","","","","Drug Addiction","","","","","","","","",""
"","","","","","Substance Abuse Awareness","","","","","","","","",""
"","","","","","Substance Abuse Education","","","","","","","","",""
"","","","","","Substance Abuse Prevention","","","","","","","","",""
"","","","","","Substance Dependence","","","","","","","","",""
"5bb3ae28da3c38c71367bcf0","F22","Substance Abuse Treatment","Organizations that provide inpatient, outpatient or residential treatment services for individuals who have a physical and/or psychological dependency on alcohol and/or drugs.","","AA","","","","","","","","","5bb3ae28da3c38c71367bcee"
"","","","","","Addiction","","","","","","","","",""
"","","","","","Alanon","","","","","","","","",""
"","","","","","Alateen","","","","","","","","",""
"","","","","","Alcohol Abuse Counseling","","","","","","","","",""
"","","","","","Alcohol Abuse Day Treatment","","","","","","","","",""
"","","","","","Alcohol Abuse Half-Way Houses","","","","","","","","",""
"","","","","","Alcohol Abuse Hotlines","","","","","","","","",""
"","","","","","Alcohol Detoxification","","","","","","","","",""
"","","","","","Alcoholics Anonymous","","","","","","","","",""
"","","","","","Alcoholism Drop-In Services","","","","","","","","",""
"","","","","","Alcoholism Recovery Group Homes","","","","","","","","",""
"","","","","","Alcoholism Recovery Hospitals","","","","","","","","",""
"","","","","","Alcoholism Rehabilitation","","","","","","","","",""
"","","","","","Alcohol-Related Crisis Intervention","","","","","","","","",""
"","","","","","Assessment for Substance Abuse","","","","","","","","",""
"","","","","","Central Intake/Assessment for Alcohol Abuse","","","","","","","","",""
"","","","","","Central Intake/Assessment for Drug Abuse","","","","","","","","",""
"","","","","","Central Intake/Assessment for Substance Abuse","","","","","","","","",""
"","","","","","Chemical Dependency Recovery Hospitals","","","","","","","","",""
"","","","","","Cocaine Anonymous","","","","","","","","",""
"","","","","","Drug Abuse Counseling","","","","","","","","",""
"","","","","","Drug Abuse Day Treatment","","","","","","","","",""
"","","","","","Drug Abuse Drop-In Services","","","","","","","","",""
"","","","","","Drug Abuse Half-Way Houses","","","","","","","","",""
"","","","","","Drug Abuse Hotlines","","","","","","","","",""
"","","","","","Drug Abuse Maintenance Treatment","","","","","","","","",""
"","","","","","Drug Abuse Recovery Group Homes","","","","","","","","",""
"","","","","","Drug Abuse Rehabilitation","","","","","","","","",""
"","","","","","Drug Addiction","","","","","","","","",""
"","","","","","Drug Dependency Recovery Hospitals","","","","","","","","",""
"","","","","","Drug Detoxification","","","","","","","","",""
"","","","","","Drug-Related Crisis Intervention","","","","","","","","",""
"","","","","","Emergency Alcoholism Services","","","","","","","","",""
"","","","","","Emergency Drug Abuse Services","","","","","","","","",""
"","","","","","Heroin Detoxification","","","","","","","","",""
"","","","","","Inpatient Alcoholism Treatment","","","","","","","","",""
"","","","","","Inpatient Drug Abuse Treatment","","","","","","","","",""
"","","","","","Inpatient Substance Abuse Hospitals","","","","","","","","",""
"","","","","","Methadone Detoxification","","","","","","","","",""
"","","","","","Naranon","","","","","","","","",""
"","","","","","Narcotics Anonymous","","","","","","","","",""
"","","","","","Outpatient Alcohol Abuse Treatment","","","","","","","","",""
"","","","","","Outpatient Drug Abuse Treatment","","","","","","","","",""
"","","","","","Outpatient Substance Abuse Treatment","","","","","","","","",""
"","","","","","Relapse Prevention/Transitional Substance Abuse","","","","","","","","",""
"","","","","","Residential Alcoholism Treatment","","","","","","","","",""
"","","","","","Residential Dug Abuse Treatment","","","","","","","","",""
"","","","","","Residential Substance Abuse Treatment","","","","","","","","",""
"","","","","","Sober Living Centers","","","","","","","","",""
"","","","","","Sobering Up Stations","","","","","","","","",""
"","","","","","Substance Abuse Counseling","","","","","","","","",""
"","","","","","Substance Abuse Crisis Intervention","","","","","","","","",""
"","","","","","Substance Abuse Day Treatment","","","","","","","","",""
"","","","","","Substance Abuse Drop-In Services","","","","","","","","",""
"","","","","","Substance Abuse Half-Way Houses","","","","","","","","",""
"","","","","","Substance Abuse Hospitals","","","","","","","","",""
"","","","","","Substance Abuse Hotlines","","","","","","","","",""
"","","","","","Substance Abuse Maintenance Treatment","","","","","","","","",""
"","","","","","Substance Abuse Recovery Group Homes","","","","","","","","",""
"","","","","","Substance Abuse Rehabilitation","","","","","","","","",""
"","","","","","Substance Dependence","","","","","","","","",""
"","","","","","Supportive Recovery Homes","","","","","","","","",""
"","","","","","Transitional Housing for Alcohol Abuse","","","","","","","","",""
"","","","","","Transitional Housing for Drug Abuse","","","","","","","","",""
"","","","","","Transitional Housing for Substance Abuse","","","","","","","","",""
"","","","","","Transitional Residential Alcohol Abuse Services","","","","","","","","",""
"","","","","","Transitional Residential Drug Abuse Services","","","","","","","","",""
"","","","","","Transitional Residential Substance Abuse Services","","","","","","","","",""
"","","","","","Twelve-Step Substance Abuse Mutual Support Groups","","","","","","","","",""
"5bb3ae29da3c38c71367bcf1","F30","Mental Health Treatment","Organizations that provide preventive, diagnostic and treatment services in a variety of community and hospital-based settings to help people to achieve and maintain a state of emotional well-being, personal empowerment and the skills to cope with everyday demands without excessive stress. ","","Animal-Assisted Therapy","5bb3ae29da3c38c71367bcf2","5bb3ae29da3c38c71367bcf3","5bb3ae29da3c38c71367bcf4","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","Clinical Evaluation","","","","","","","","",""
"","","","","","Early Intervention","","","","","","","","",""
"","","","","","Forensic Psychiatric Evaluations","","","","","","","","",""
"","","","","","Hug-A-Pet Programs","","","","","","","","",""
"","","","","","Mental Health Related","","","","","","","","",""
"","","","","","Mental  Health Twelve Step","","","","","","","","",""
"","","","","","Mental Health Drop-in Centers","","","","","","","","",""
"","","","","","Mental Health Evaluation","","","","","","","","",""
"","","","","","Outpatient Mental Health Facilities","","","","","","","","",""
"","","","","","Pet-Assisted Therapy","","","","","","","","",""
"","","","","","Pet Therapy","","","","","","","","",""
"","","","","","Psychiatric Day Treatment Facilities","","","","","","","","",""
"","","","","","Psychological Testing","","","","","","","","",""
"","","","","","Psychosocial Evaluation","","","","","","","","",""
"5bb3ae29da3c38c71367bcf2","F31","Psychiatric Hospitals","Organizations that provide diagnostic and inpatient treatment services for individuals who have acute or chronic mental or emotional disturbances, who require hospitalization.","","Hospitals for the Mentally Ill","","","","","","","","","5bb3ae29da3c38c71367bcf1"
"","","","","","Inpatient Mental Health Facilities","","","","","","","","",""
"","","","","","Inpatient Mental Health Treatment","","","","","","","","",""
"","","","","","Psychiatric Hospitals","","","","","","","","",""
"","","","","","State Mental Hospitals","","","","","","","","",""
"5bb3ae29da3c38c71367bcf3","F32","Community Mental Health Centers","Neighborhood-based organizations that offer counseling, medication and other mental health services for people who have acute or chronic mental or emotional disturbances.","","Community Mental Health Clinics","","","","","","","","","5bb3ae29da3c38c71367bcf1"
"","","","","","Neighborhood Mental Health Centers","","","","","","","","",""
"5bb3ae29da3c38c71367bcf4","F33","Residential Mental Health Treatment","Organizations that provide a therapeutic living environment in community-based facilities for adults or children with emotional and/or behavioral problems who require a structured, supervised treatment program which may include individual, group, family and other treatment modalities as appropriate.","","Boys Ranches","","","","","","","","","5bb3ae29da3c38c71367bcf1"
"","","","","","Group Homes, Housing","","","","","","","","",""
"","","","","","Mental Health Related","","","","","","","","",""
"","","","","","Transitional Residential Mental Health Care","","","","","","","","",""
"","","","","","Residential Treatment Facilities, Mental Health Related","","","","","","","","",""
"5bb3ae29da3c38c71367bcf5","F40","Hot Lines & Crisis Intervention","Organizations that provide in-person or telephone assistance for people who are in acute emotional distress; who are a danger to themselves or to others; who are having suicidal feelings; or who are hysterical, frightened or otherwise unable to cope with a problem that requires immediate action. ","","Crisis Intervention Groups","5bb3ae29da3c38c71367bcf6","","","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","Telephone Crisis Hotlines","","","","","","","","",""
"","","","","","Helplines","","","","","","","","",""
"","","","","","Hotlines","","","","","","","","",""
"","","","","","Mental Health Hotlines","","","","","","","","",""
"","","","","","Suicide Prevention","","","","","","","","",""
"5bb3ae29da3c38c71367bcf6","F42","Sexual Assault Services","Organizations that provide telephone crisis intervention services or crisis, short-term and/or ongoing in-person counseling for people who have been sexually assaulted.","","Rape Crisis Counseling","","","","","","","","","5bb3ae29da3c38c71367bcf5"
"","","","","","Rape Victim Hotlines","","","","","","","","",""
"","","","","","Sexual Assault Services","","","","","","","","",""
"5bb3ae29da3c38c71367bcf7","F50","Addictive Disorders Not Elsewhere Classified","Organizations that provide counseling, medical treatment (where indicated) and other supportive services for individuals who have a psychological dependency involving a particular pattern of behavior, e.g., spending money, sexual compulsions and workaholic behavior.","","Addictive Behavior","5bb3ae29da3c38c71367bcf8","5bb3ae29da3c38c71367bcf9","5bb3ae29da3c38c71367bcfa","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","Compulsive Behavior","","","","","","","","",""
"","","","","","Computer Addiction","","","","","","","","",""
"","","","","","Pathological Cravings","","","","","","","","",""
"","","","","","Shopaholic","","","","","","","","",""
"","","","","","Workaholic","","","","","","","","",""
"5bb3ae29da3c38c71367bcf8","F52","Smoking Addiction","Organizations that utilize a variety of techniques to help people who wish to control their dependence on nicotine and give up substances containing nicotine. Also included are smoking education/prevention programs that help persuade people to avoid the habit before they start.","","Anti-Smoking Campaigns","","","","","","","","","5bb3ae29da3c38c71367bcf7"
"","","","","","Nicotine Addiction","","","","","","","","",""
"","","","","","Nicotine Dependency","","","","","","","","",""
"","","","","","Smoking Cessation","","","","","","","","",""
"","","","","","Smoking Education","","","","","","","","",""
"","","","","","Smoking Prevention","","","","","","","","",""
"","","","","","Smoking Withdrawal Clinics","","","","","","","","",""
"","","","","","Stop Smoking","","","","","","","","",""
"","","","","","Tobacco Addiction","","","","","","","","",""
"","","","","","Tobacco Habit","","","","","","","","",""
"5bb3ae29da3c38c71367bcf9","F53","Eating Disorders & Addictions","Organizations that provide diagnostic and treatment services for individuals who have anorexia nervosa, bulimarexia, bulimia or a related eating disorder.","","Anorexia","","","","","","","","","5bb3ae29da3c38c71367bcf7"
"","","","","","Binge Eating","","","","","","","","",""
"","","","","","Boulimia","","","","","","","","",""
"","","","","","Bulimarexia","","","","","","","","",""
"","","","","","Bulimia","","","","","","","","",""
"","","","","","Dysorexia","","","","","","","","",""
"","","","","","Eating Addictions","","","","","","","","",""
"","","","","","Eating Disorders","","","","","","","","",""
"","","","","","Hyperphagia","","","","","","","","",""
"","","","","","Obesity","","","","","","","","",""
"","","","","","Overeating","","","","","","","","",""
"","","","","","Pica","","","","","","","","",""
"","","","","","Rumination Disorder","","","","","","","","",""
"5bb3ae29da3c38c71367bcfa","F54","Gambling Addiction","Organizations that provide emotional support, information and guidance for people who are having difficulty controlling their compulsion to gamble.","","Compulsive Gambling","","","","","","","","","5bb3ae29da3c38c71367bcf7"
"","","","","","Gamblers Anonymous","","","","","","","","",""
"","","","","","Pathological Gambling","","","","","","","","",""
"5bb3ae29da3c38c71367bcfb","F60","Counseling","Organizations that provide treatment services which may include emotional support, problem-solving assistance, information and guidance through a variety of counseling modalities for individuals who are having difficulty in coping with a traumatic experience or a personal relationship or in making the adjustments that are required by their particular stage in life.","","Adolescent Counseling","","","","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","Adult Incest Survivor Counseling","","","","","","","","",""
"","","","","","Anger Management","","","","","","","","",""
"","","","","","Bereavement Counseling","","","","","","","","",""
"","","","","","Child Abuse Counseling","","","","","","","","",""
"","","","","","CISD","","","","","","","","",""
"","","","","","Critical Incident Stress Debriefing","","","","","","","","",""
"","","","","","Cult Membership Counseling","","","","","","","","",""
"","","","","","Cultural Transition Counseling","","","","","","","","",""
"","","","","","Disability Counseling","","","","","","","","",""
"","","","","","Elder Abuse Counseling","","","","","","","","",""
"","","","","","Employee Assistance","","","","","","","","",""
"","","","","","Employment Transition Counseling","","","","","","","","",""
"","","","","","Family Violence Counseling","","","","","","","","",""
"","","","","","Geriatric Counseling","","","","","","","","",""
"","","","","","Gestalt Therapy","","","","","","","","",""
"","","","","","Grief Counseling","","","","","","","","",""
"","","","","","Health Problems Counseling","","","","","","","","",""
"","","","","","Parent Abuse Counseling","","","","","","","","",""
"","","","","","Peer Counseling","","","","","","","","",""
"","","","","","Psychiatric Disorder Counseling","","","","","","","","",""
"","","","","","Sexual Offender Counseling","","","","","","","","",""
"","","","","","Sexual Orientation Counseling","","","","","","","","",""
"","","","","","Sexuality Counseling","","","","","","","","",""
"","","","","","Spousal Abuse Counseling","","","","","","","","",""
"","","","","","Spouse Abuse Counseling","","","","","","","","",""
"","","","","","Terminal Illness Counseling","","","","","","","","",""
"","","","","","Veteran Counseling","","","","","","","","",""
"","","","","","Youth Counseling","","","","","","","","",""
"5bb3ae29da3c38c71367bcfc","F70","Mental Health Disorders","Organizations that provide preventive, diagnostic and treatment services that focus on a particular mental health disorder.","","Acute Stress Disorder","","","","","","","","","5bc787d9da3c38f0620b0244"
"","","","","","ADD","","","","","","","","",""
"","","","","","ADHD","","","","","","","","",""
"","","","","","Adjustment Disorders","","","","","","","","",""
"","","","","","Affective Disorders","","","","","","","","",""
"","","","","","Agoraphobia","","","","","","","","",""
"","","","","","Amnesia Antisocial Personality Disorder","","","","","","","","",""
"","","","","","Anxiety Disorders","","","","","","","","",""
"","","","","","Attention Deficit & Disruptive Behavior Disorders","","","","","","","","",""
"","","","","","Attention Deficit Disorders","","","","","","","","",""
"","","","","","Attention-Deficiency/Hyperactivity Disorder","","","","","","","","",""
"","","","","","Avoidant Personality Disorder","","","","","","","","",""
"","","","","","Bipolar Disorder","","","","","","","","",""
"","","","","","Body Dymorphic Disorder","","","","","","","","",""
"","","","","","Borderline Personality Disorder","","","","","","","","",""
"","","","","","Breathing-Related Sleep Disorder","","","","","","","","",""
"","","","","","Briquet Syndrome","","","","","","","","",""
"","","","","","Capgras Syndrome","","","","","","","","",""
"","","","","","Catatonic Schizophrenia","","","","","","","","",""
"","","","","","Child Mental Disorders","","","","","","","","",""
"","","","","","Childhood Mental Health Disorders","","","","","","","","",""
"","","","","","Circadian Rhythm Sleep Disorder","","","","","","","","",""
"","","","","","Clereambault Syndrome","","","","","","","","",""
"","","","","","Cognitive Disorders","","","","","","","","",""
"","","","","","Conduct Disorders","","","","","","","","",""
"","","","","","Conversion Disorder","","","","","","","","",""
"","","","","","Cyclothymic Disorder","","","","","","","","",""
"","","","","","Delirium","","","","","","","","",""
"","","","","","Delusional Disorder","","","","","","","","",""
"","","","","","Dementia","","","","","","","","",""
"","","","","","Dependent Personality Disorder","","","","","","","","",""
"","","","","","Depersonalization Disorder","","","","","","","","",""
"","","","","","Depression","","","","","","","","",""
"","","","","","Disorganized Schizophrenia","","","","","","","","",""
"","","","","","Disruptive Behavior Disorders","","","","","","","","",""
"","","","","","Dissociative Amnesia","","","","","","","","",""
"","","","","","Dissociative Disorders","","","","","","","","",""
"","","","","","Dissociative Identity Disorder","","","","","","","","",""
"","","","","","Dysthymic Disorder","","","","","","","","",""
"","","","","","Encopresis","","","","","","","","",""
"","","","","","Enuresis","","","","","","","","",""
"","","","","","Exhibitionism","","","","","","","","",""
"","","","","","Factitious Disorders","","","","","","","","",""
"","","","","","False Memory Syndrome","","","","","","","","",""
"","","","","","Fetishism","","","","","","","","",""
"","","","","","Frotteurism","","","","","","","","",""
"","","","","","Fugue","","","","","","","","",""
"","","","","","GAD: Ganser Syndrome","","","","","","","","",""
"","","","","","Gender Dysphoria","","","","","","","","",""
"","","","","","Gender Identity Disorder","","","","","","","","",""
"","","","","","Generalized Anxiety Disorders","","","","","","","","",""
"","","","","","Histrionic Personality Disorder","","","","","","","","",""
"","","","","","Hypersomnia","","","","","","","","",""
"","","","","","Hypochondria","","","","","","","","",""
"","","","","","Hypocondriasis","","","","","","","","",""
"","","","","","Hysteria","","","","","","","","",""
"","","","","","Insomnia","","","","","","","","",""
"","","","","","Intermittent Explosive Disorder","","","","","","","","",""
"","","","","","Kleptomania","","","","","","","","",""
"","","","","","Kluver-Bucy Syndrome","","","","","","","","",""
"","","","","","Manic Depression","","","","","","","","",""
"","","","","","Masochism","","","","","","","","",""
"","","","","","Mental Disorders","","","","","","","","",""
"","","","","","Mental Illness","","","","","","","","",""
"","","","","","Mood Disorders","","","","","","","","",""
"","","","","","Multiple Personality Disorder","","","","","","","","",""
"","","","","","Munchausen Syndrome","","","","","","","","",""
"","","","","","Mutism","","","","","","","","",""
"","","","","","Narcissistic Personality Disorder","","","","","","","","",""
"","","","","","Nightmare Disorder","","","","","","","","",""
"","","","","","Obsessive-Compulsive Disorders","","","","","","","","",""
"","","","","","Obsessive-Compulsive Personality Disorder","","","","","","","","",""
"","","","","","OCD","","","","","","","","",""
"","","","","","ODD","","","","","","","","",""
"","","","","","Oppositional Defiant Disorder","","","","","","","","",""
"","","","","","Organic Mental Disorders","","","","","","","","",""
"","","","","","Pain Disorders","","","","","","","","",""
"","","","","","Panic Attacks","","","","","","","","",""
"","","","","","Panic Disorder","","","","","","","","",""
"","","","","","Paranoid Personality Disorder","","","","","","","","",""
"","","","","","Paranoid Schizophrenia","","","","","","","","",""
"","","","","","Paraphilias","","","","","","","","",""
"","","","","","Parasomnias","","","","","","","","",""
"","","","","","Passive-Aggressive Personality Disorder","","","","","","","","",""
"","","","","","Pedophilia","","","","","","","","",""
"","","","","","Personality Disorders","","","","","","","","",""
"","","","","","Postpartum Depression","","","","","","","","",""
"","","","","","Posttraumatic Stress Syndrome","","","","","","","","",""
"","","","","","Pseudodementia","","","","","","","","",""
"","","","","","Pseudopsychosis","","","","","","","","",""
"","","","","","Psychiatric Illness","","","","","","","","",""
"","","","","","Psychological Sexual Dysfunctions","","","","","","","","",""
"","","","","","Psychotic Disorders","","","","","","","","",""
"","","","","","Psychotic Disorders","","","","","","","","",""
"","","","","","Pyromania","","","","","","","","",""
"","","","","","Sadism","","","","","","","","",""
"","","","","","Schizoid Personality Disorder","","","","","","","","",""
"","","","","","Schizophrenia","","","","","","","","",""
"","","","","","Schizotypal Personality Disorder","","","","","","","","",""
"","","","","","Seasonal Affective Disorder","","","","","","","","",""
"","","","","","Separation Anxiety","","","","","","","","",""
"","","","","","Sexual & Gender Identity Disorders","","","","","","","","",""
"","","","","","Sexual Arousal Disorders","","","","","","","","",""
"","","","","","Sexual Desires Disorders","","","","","","","","",""
"","","","","","Sexual Masochism","","","","","","","","",""
"","","","","","Sexual Sadism","","","","","","","","",""
"","","","","","Shared Paranoid Schizophrenia","","","","","","","","",""
"","","","","","Sleep Disorders","","","","","","","","",""
"","","","","","Sleep Terror Disorder","","","","","","","","",""
"","","","","","Sleepwalking Disorders","","","","","","","","",""
"","","","","","Social Phobia","","","","","","","","",""
"","","","","","Somatoform Disorders","","","","","","","","",""
"","","","","","Stereotypic Movement Disorder","","","","","","","","",""
"","","","","","Stress Related Disorders","","","","","","","","",""
"","","","","","Tic Disorders","","","","","","","","",""
"","","","","","Tourette Syndrome","","","","","","","","",""
"","","","","","Transvestic Fetishism","","","","","","","","",""
"","","","","","Traumatic Psychoses","","","","","","","","",""
"","","","","","Trichotillomania","","","","","","","","",""
"","","","","","Vaginismus","","","","","","","","",""
"","","","","","Voyeurism","","","","","","","","",""
"5bb3ae29da3c38c71367bcfd","F80","Mental Health Associations","Organizations whose purpose is to promote social conditions that enhance the potential in the community for good mental health and to improve methods and facilities for treating mental illness.","Multipurpose Mental Health Associations","","","","","","","","","","5bc787d9da3c38f0620b0244"
"5bb3ae29da3c38c71367bcfe","F99","Mental Health & Crisis Intervention Not Elsewhere Classified","Organizations that clearly provide mental health services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.","","","","","","","","","","","5bc787d9da3c38f0620b0244"
"5bb3ae29da3c38c71367bcff","G20","Birth Defects & Genetic Diseases","Voluntary health organizations active in the prevention or treatment of illnesses or conditions that are hereditary and passed from parent to offspring. ","","Achronplasia","5bb3ae29da3c38c71367bd00","","","","","","","","5bc787d9da3c38f0620b0245"
"","","","","","Alagille Syndrome","","","","","","","","",""
"","","","","","Albinism","","","","","","","","",""
"","","","","","Amaurotic Familial Idiocy","","","","","","","","",""
"","","","","","Bardet-Biedl Syndrome","","","","","","","","",""
"","","","","","Birth Defects","","","","","","","","",""
"","","","","","Cerebral Palsy","","","","","","","","",""
"","","","","","Charcot-Marie Disease","","","","","","","","",""
"","","","","","Charcot-Marie-Tooth Disease","","","","","","","","",""
"","","","","","Chromosome Disorders","","","","","","","","",""
"","","","","","Clubfoot","","","","","","","","",""
"","","","","","Coffin-Lowrey Syndrome","","","","","","","","",""
"","","","","","Congenital Defects","","","","","","","","",""
"","","","","","Cri-du-Chat Syndrome","","","","","","","","",""
"","","","","","Crying Cat Syndrome","","","","","","","","",""
"","","","","","Cryptorchidism","","","","","","","","",""
"","","","","","Cystic Fibrosis","","","","","","","","",""
"","","","","","Cytochrome-c Oxidase Deficiency","","","","","","","","",""
"","","","","","Dandy-Walker Syndrome","","","","","","","","",""
"","","","","","De Lange Syndrome","","","","","","","","",""
"","","","","","Developmental Coordination Disorder","","","","","","","","",""
"","","","","","Factor X Deficiency","","","","","","","","",""
"","","","","","Fetal Alcohol Syndrome","","","","","","","","",""
"","","","","","Fragile X Syndrome","","","","","","","","",""
"","","","","","Friedreich Ataxia","","","","","","","","",""
"","","","","","Genetic Diseases","","","","","","","","",""
"","","","","","Hemophilia","","","","","","","","",""
"","","","","","Hereditary Diseases","","","","","","","","",""
"","","","","","Huntingtons Disease","","","","","","","","",""
"","","","","","Jervell-Lange Nielsen Syndrome","","","","","","","","",""
"","","","","","Kartagener Syndrome","","","","","","","","",""
"","","","","","Klinefelter Syndrome","","","","","","","","",""
"","","","","","Laurence-Moon Syndrome","","","","","","","","",""
"","","","","","Leigh Disease","","","","","","","","",""
"","","","","","Lesch-Nyhan Syndrome","","","","","","","","",""
"","","","","","Littles Disease","","","","","","","","",""
"","","","","","Lynch Syndrome","","","","","","","","",""
"","","","","","March of Dimes","","","","","","","","",""
"","","","","","Marfan Syndrome","","","","","","","","",""
"","","","","","Martin-Bell Syndrome","","","","","","","","",""
"","","","","","Mental Retardation","","","","","","","","",""
"","","","","","Motor Skills Disorder","","","","","","","","",""
"","","","","","Neurofibromatosis","","","","","","","","",""
"","","","","","Oral-Facial Clefts","","","","","","","","",""
"","","","","","Phenylketonuria","","","","","","","","",""
"","","","","","PKU","","","","","","","","",""
"","","","","","Porphyria","","","","","","","","",""
"","","","","","Prader-Willi Syndrome","","","","","","","","",""
"","","","","","Pseudoxanthoma Elasticum","","","","","","","","",""
"","","","","","Pyruvate Carboxylase Deficiency Disease","","","","","","","","",""
"","","","","","Pyruvate Dehydrogenase Complex Deficiency Disease","","","","","","","","",""
"","","","","","Rett Disorder","","","","","","","","",""
"","","","","","Rett Syndrome","","","","","","","","",""
"","","","","","Retts Disorder","","","","","","","","",""
"","","","","","Retts Syndrome","","","","","","","","",""
"","","","","","Rett's Disorder","","","","","","","","",""
"","","","","","Rett's Syndrome","","","","","","","","",""
"","","","","","Rh Disease","","","","","","","","",""
"","","","","","Romano-Ward Syndrome","","","","","","","","",""
"","","","","","Rubinstein-Taybi Syndrome","","","","","","","","",""
"","","","","","Sickle Cell","","","","","","","","",""
"","","","","","Spina Bifida","","","","","","","","",""
"","","","","","Sudden Infant Death","","","","","","","","",""
"","","","","","Tay Sachs","","","","","","","","",""
"","","","","","Testicular Feminization Syndrome","","","","","","","","",""
"","","","","","Thalassemia","","","","","","","","",""
"","","","","","Turner Syndrome","","","","","","","","",""
"","","","","","Turners Syndrome","","","","","","","","",""
"","","","","","WAGR Syndrome","","","","","","","","",""
"","","","","","Werner Syndrome","","","","","","","","",""
"","","","","","Williams Syndrome","","","","","","","","",""
"","","","","","Xeroderma Pigmentosum","","","","","","","","",""
